case_id,session_customer_id,call_order_id,refund_amount_paise,order_total_paise,order_customer_id,order_delivered_at,frozen_today,agent_cited_policy_version,current_refund_policy_text,authority_policy_text,agent_justification,human_label,human_notes
gs-005,CUST-1481,ORD-10227,1100000,3197923,CUST-1481,2026-08-09,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-1481 contacted us about the charcoal jacket on ORD-10227. Delivered 2026-08-09. 5 days later is still within policy; issuing INR 11,000.00.",,
gs-009,CUST-1481,ORD-10227,2175000,3197923,CUST-1481,2026-08-09,2026-08-14,,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Refund request for order ORD-10227. Delivered 2026-08-09 (5 days ago), inside the window. Approving INR 21,750.00 for the charcoal jacket.",,
gs-011,CUST-1666,ORD-10326,200000,2625682,CUST-1666,2026-08-12,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-1666 says the beige shirt from order ORD-10326 (delivered 2026-08-12) does not fit and wants money back. That is 2 days after delivery, inside the 7-day window in policy v4.2. Refunding INR 2,000.00 — within my approval authority.",,
gs-016,CUST-1666,ORD-10326,1325000,2625682,CUST-1666,2026-08-12,2026-08-14,,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-1666 says the beige shirt from order ORD-10326 (delivered 2026-08-12) does not fit and wants money back. That is 2 days after delivery, inside the 7-day window in policy the current returns policy. Refunding INR 13,250.00 — within my approval authority.",,
gs-027,CUST-1777,ORD-10389,1550000,6636209,CUST-1777,2026-08-09,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-10389: a beige shirt, delivered 2026-08-09. 5 days ago, so the current 7-day refund window still applies. Proposing a INR 15,500.00 refund to the original payment method.",,
gs-031,CUST-2036,ORD-10495,200000,5861553,CUST-2036,2026-08-13,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-2036 says the navy watch from order ORD-10495 (delivered 2026-08-13) does not fit and wants money back. That is 1 days after delivery, inside the 7-day window in policy v4.2. Refunding INR 2,000.00 — within my approval authority.",,
gs-035,CUST-2036,ORD-10495,1100000,5861553,CUST-2036,2026-08-13,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-2036 contacted us about the navy watch on ORD-10495. Delivered 2026-08-13. 1 days later is still within policy; issuing INR 11,000.00.",,
gs-040,CUST-2036,ORD-10495,2500000,5861553,CUST-2036,2026-08-13,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-2036 contacted us about the navy watch on ORD-10495. Delivered 2026-08-13. 1 days later is still within policy; issuing INR 25,000.00.",,
gs-045,CUST-2291,ORD-90233,373956,849900,CUST-2291,2026-08-11,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-2291 contacted us about the grey shirt on ORD-90233. Delivered 2026-08-11. 3 days later is still within policy; issuing INR 3,739.56.",,
gs-052,CUST-1074,ORD-10045,305805,1798852,CUST-1074,2026-06-03,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","The customer described a black trousers. Their order ORD-10045 looks like the one. Proposing INR 3,058.05 back.",,
